pipeline,answer_relevancy,context_recall,faithfulness
hybrid,0.6501369120401301,0.6492468382003266,0.8112982112620841
kg,0.12361413576954057,0.21180728088336784,0.7121559172192083
raptor,0.7431563744932973,0.2654509283819629,0.6870706496314636
routed,0.667517441853774,0.3479743230625583,0.6939411819673988
